,nu7441,tissue
ACH-000914,1,lymphocyte
ACH-000171,1,kidney
ACH-001526,1,bone
ACH-000311,0,lung
ACH-000983,1,blood
ACH-000045,1,blood
ACH-000023,1,pancreas
ACH-000755,0,breast
ACH-000768,1,breast
ACH-001307,0,thyroid
ACH-000738,1,central_nervous_system
ACH-000433,1,kidney
ACH-000752,0,lung
ACH-000751,1,blood
ACH-000881,0,skin
ACH-000987,0,skin
ACH-000430,1,ovary
ACH-000953,1,blood
ACH-000061,1,lymphocyte
ACH-000053,1,lymphocyte
ACH-000153,0,lung
ACH-000832,1,upper_aerodigestive
ACH-000120,1,peripheral_nervous_system
ACH-000481,0,lung
ACH-000668,1,breast
ACH-000403,0,colorectal
ACH-000438,0,lung
ACH-000906,0,ovary
ACH-000763,1,plasma_cell
ACH-000926,0,colorectal
ACH-000201,1,soft_tissue
ACH-000113,1,blood
ACH-000124,0,lymphocyte
ACH-000096,1,kidney
ACH-000059,1,blood
ACH-000496,0,lung
ACH-000663,1,ovary
ACH-000678,0,gastric
ACH-000315,1,lymphocyte
ACH-000222,0,pancreas
ACH-000605,0,esophagus
ACH-000654,1,lymphocyte
ACH-000245,1,lymphocyte
ACH-000988,0,uterus
ACH-000932,1,gastric
ACH-000190,0,lymphocyte
ACH-000288,1,breast
ACH-000794,1,upper_aerodigestive
ACH-000176,0,lung
ACH-000326,0,blood
ACH-000018,0,urinary_tract
ACH-000218,1,blood
ACH-001306,1,thyroid
ACH-000488,1,esophagus
ACH-000596,1,lung
ACH-000232,1,central_nervous_system
ACH-000828,0,breast
ACH-000294,1,blood
ACH-000463,1,lung
ACH-000320,0,pancreas
ACH-000295,0,blood
ACH-000852,0,lung
ACH-000960,1,blood
ACH-000400,0,colorectal
ACH-000934,1,breast
ACH-000558,1,central_nervous_system
ACH-000804,1,peripheral_nervous_system
ACH-000968,0,skin
ACH-000880,1,gastric
ACH-000386,1,blood
ACH-000139,1,pancreas
ACH-000825,1,lung
ACH-000609,1,central_nervous_system
ACH-000301,1,blood
ACH-000090,1,prostate
ACH-000625,1,liver
ACH-000338,1,lymphocyte
ACH-000174,0,thyroid
ACH-000330,1,breast
ACH-000853,1,lung
ACH-000188,0,upper_aerodigestive
ACH-000323,1,central_nervous_system
ACH-000847,0,gastric
ACH-000535,0,pancreas
ACH-000810,1,skin
ACH-000007,0,colorectal
ACH-000919,0,gastric
ACH-000383,0,esophagus
ACH-000672,1,lung
ACH-000544,0,esophagus
ACH-000478,0,liver
ACH-000571,0,central_nervous_system
ACH-000108,0,pancreas
ACH-000448,0,lung
ACH-000178,1,pancreas
ACH-000155,0,pancreas
ACH-000927,0,breast
ACH-000106,1,lymphocyte
ACH-000657,0,ovary
ACH-000957,1,colorectal
ACH-000104,0,blood
ACH-000824,1,esophagus
ACH-000798,0,colorectal
ACH-000047,1,gastric
ACH-000242,0,urinary_tract
ACH-000865,1,esophagus
ACH-000522,1,urinary_tract
ACH-000555,0,kidney
ACH-000135,0,fibroblast
ACH-001373,0,ovary
ACH-000577,1,liver
ACH-000748,1,bone
ACH-000329,0,central_nervous_system
ACH-000859,0,breast
ACH-000693,0,esophagus
ACH-000696,1,ovary
ACH-000396,0,urinary_tract
ACH-000757,1,lung
ACH-000074,0,blood
ACH-000259,1,peripheral_nervous_system
ACH-000620,1,liver
ACH-000913,1,uterus
ACH-000655,0,central_nervous_system
ACH-000911,1,gastric
ACH-000424,1,bone
ACH-000226,1,lymphocyte
ACH-000356,0,gastric
ACH-000006,1,blood
ACH-000009,0,colorectal
ACH-000200,0,central_nervous_system
ACH-000580,0,skin
ACH-000270,0,pancreas
ACH-000505,1,soft_tissue
ACH-000838,0,plasma_cell
ACH-000973,1,urinary_tract
ACH-000287,1,lymphocyte
ACH-000359,1,bone
ACH-000614,1,skin
ACH-000846,1,upper_aerodigestive
ACH-000472,1,upper_aerodigestive
ACH-000204,0,plasma_cell
ACH-000861,1,lung
ACH-000974,0,uterus
ACH-000589,1,lung
ACH-000092,0,lung
ACH-000491,1,colorectal
ACH-000473,1,urinary_tract
ACH-000894,1,lung
ACH-000258,1,breast
ACH-000963,0,colorectal
ACH-000247,0,gastric
ACH-000554,0,breast
ACH-000070,1,blood
ACH-000357,1,lymphocyte
ACH-000849,1,breast
ACH-000788,1,skin
ACH-000303,0,gastric
ACH-000250,1,kidney
ACH-000706,1,lung
ACH-000510,0,lung
ACH-000986,0,colorectal
ACH-000936,1,ovary
ACH-000607,1,soft_tissue
ACH-000277,0,breast
ACH-000355,1,lung
ACH-000281,1,pancreas
ACH-000730,0,skin
ACH-000506,1,lung
ACH-000883,1,central_nervous_system
ACH-000966,1,ovary
ACH-000425,0,skin
ACH-000004,0,blood
ACH-000304,1,skin
ACH-000956,0,prostate
ACH-000848,0,liver
ACH-000574,0,ovary
ACH-000060,0,pancreas
ACH-000843,0,lung
ACH-000236,0,colorectal
ACH-000072,0,blood
ACH-000147,0,breast
ACH-000815,1,lymphocyte
ACH-000030,0,lung
ACH-000817,1,plasma_cell
ACH-000617,0,ovary
ACH-000691,0,breast
ACH-000207,0,upper_aerodigestive
ACH-000198,1,blood
ACH-000724,0,urinary_tract
ACH-000162,1,lymphocyte
ACH-000985,0,colorectal
ACH-000886,0,lung
ACH-000725,0,breast
ACH-000019,1,breast
ACH-000322,1,skin
ACH-000821,1,plasma_cell
ACH-000343,0,lung
ACH-000756,0,central_nervous_system
ACH-000551,1,blood
ACH-000524,0,ovary
ACH-000183,1,plasma_cell
ACH-000020,1,blood
ACH-000493,0,liver
ACH-000193,0,plasma_cell
ACH-000944,1,lymphocyte
ACH-000651,0,colorectal
ACH-000857,1,breast
ACH-000267,0,lymphocyte
ACH-000727,0,lung
ACH-000464,0,central_nervous_system
ACH-000082,0,bone
ACH-000784,0,esophagus
ACH-000048,1,ovary
ACH-000094,0,pancreas
ACH-000219,1,skin
ACH-000595,0,central_nervous_system
ACH-000826,1,lung
ACH-000363,0,plasma_cell
ACH-000530,0,lung
ACH-000918,1,blood
ACH-000856,0,breast
ACH-000376,0,central_nervous_system
ACH-000235,0,pancreas
ACH-000869,0,lung
ACH-000679,1,esophagus
ACH-000075,0,central_nervous_system
ACH-000065,0,blood
ACH-000622,0,central_nervous_system
ACH-000613,1,bone
ACH-000248,1,breast
ACH-000538,1,gastric
ACH-000145,1,soft_tissue
ACH-000587,0,lung
ACH-000951,0,lung
ACH-000616,1,gastric
ACH-000662,0,lung
ACH-000369,1,blood
ACH-000648,1,lung
ACH-000360,1,colorectal
ACH-000353,0,esophagus
ACH-000812,1,skin
ACH-000892,0,lung
ACH-000995,0,blood
ACH-000243,1,pancreas
ACH-000273,1,central_nervous_system
ACH-000639,0,lung
ACH-000893,0,lung
ACH-000803,0,lung
ACH-000922,1,blood
ACH-000056,0,lymphocyte
ACH-000819,1,central_nervous_system
ACH-000811,0,ovary
ACH-000151,1,blood
ACH-000379,0,lung
ACH-000101,1,blood
ACH-000227,0,peripheral_nervous_system
ACH-000875,1,lung
ACH-000882,1,skin
ACH-000374,0,breast
ACH-000501,0,colorectal
ACH-000532,0,colorectal
ACH-000627,0,lung
ACH-000767,1,lung
ACH-000902,1,breast
ACH-000879,1,uterus
ACH-000977,1,prostate
ACH-000078,1,peripheral_nervous_system
ACH-000293,0,uterus
ACH-000740,1,upper_aerodigestive
ACH-000001,0,ovary
ACH-000431,0,lung
ACH-000823,0,esophagus
ACH-000965,0,uterus
ACH-000168,1,blood
ACH-000570,0,central_nervous_system
ACH-000947,1,ovary
ACH-000054,1,soft_tissue
ACH-000562,0,lung
ACH-000347,0,pancreas
ACH-000129,0,lung
ACH-000024,1,plasma_cell
ACH-000873,0,esophagus
ACH-000745,1,plasma_cell
ACH-000559,0,lung
ACH-000800,1,lung
ACH-000885,0,ovary
ACH-000441,0,skin
ACH-000118,0,pancreas
ACH-000476,1,liver
ACH-000132,1,ovary
ACH-000814,0,skin
ACH-000573,0,breast
ACH-000217,1,liver
ACH-000420,1,liver
ACH-000998,0,colorectal
ACH-000149,1,peripheral_nervous_system
ACH-000346,1,blood
ACH-000486,1,urinary_tract
ACH-000903,1,thyroid
ACH-000747,0,lung
ACH-000929,0,lung
ACH-000759,0,breast
ACH-000770,0,blood
ACH-000465,1,skin
ACH-000146,1,blood
ACH-000830,0,lung
ACH-000615,1,skin
ACH-000211,1,central_nervous_system
ACH-000585,1,lung
ACH-000265,0,pancreas
ACH-000816,0,lung
ACH-000876,1,breast
ACH-000698,0,lung
ACH-000035,0,lung
ACH-000373,1,blood
ACH-000563,1,lung
ACH-000392,0,lung
ACH-000647,0,esophagus
ACH-000252,0,colorectal
ACH-000945,1,lung
ACH-000410,0,bone
ACH-000233,1,lymphocyte
ACH-000508,0,lung
ACH-000102,1,central_nervous_system
ACH-000636,1,blood
ACH-000482,1,lung
ACH-000527,1,ovary
ACH-000637,0,esophagus
ACH-000115,0,prostate
ACH-000900,1,lung
ACH-000098,1,central_nervous_system
ACH-000802,1,urinary_tract
ACH-000805,1,skin
ACH-000619,1,upper_aerodigestive
ACH-000638,0,lung
ACH-000015,0,lung
ACH-000416,1,lung
ACH-000381,0,colorectal
ACH-000012,1,lung
ACH-000969,0,colorectal
ACH-000291,0,ovary
ACH-000792,1,kidney
ACH-000840,0,lung
ACH-000962,1,ovary
ACH-000776,0,central_nervous_system
ACH-000720,0,urinary_tract
ACH-000890,0,lung
ACH-000423,0,skin
ACH-000930,1,breast
ACH-000401,0,skin
ACH-000822,0,skin
ACH-000081,0,blood
ACH-000475,0,liver
ACH-000231,1,central_nervous_system
ACH-000670,0,lung
ACH-000257,0,lung
ACH-000940,1,uterus
ACH-000372,0,blood
ACH-000210,0,bone
ACH-000718,0,lung
ACH-000584,0,ovary
ACH-000787,1,lung
ACH-001075,1,lung
ACH-000665,0,lung
ACH-000955,1,colorectal
ACH-000841,0,lung
ACH-000008,1,skin
ACH-000073,1,lymphocyte
ACH-000699,1,breast
ACH-000643,0,breast
ACH-000298,0,lung
ACH-000378,0,lung
ACH-000950,1,colorectal
ACH-000480,1,liver
ACH-000703,0,lung
ACH-000586,1,lung
ACH-000290,0,lung
ACH-000350,0,colorectal
ACH-000457,1,kidney
ACH-000641,1,blood
ACH-000939,1,soft_tissue
ACH-000980,1,lung
ACH-000447,0,lung
ACH-000521,1,lung
ACH-000358,0,lung
ACH-000309,0,lung
ACH-000504,0,central_nervous_system
ACH-000536,1,breast
ACH-000783,1,breast
ACH-000099,0,peripheral_nervous_system
ACH-000348,1,skin
ACH-000669,0,lung
ACH-000408,0,esophagus
ACH-000818,0,breast
ACH-000644,0,skin
ACH-000697,0,lymphocyte
ACH-000249,1,colorectal
ACH-000429,1,kidney
ACH-000366,1,peripheral_nervous_system
ACH-000924,0,lung
ACH-000091,1,ovary
ACH-000442,1,lung
ACH-000780,0,lung
ACH-000866,1,lung
ACH-000191,1,thyroid
ACH-000100,1,soft_tissue
ACH-000189,0,kidney
ACH-000040,0,central_nervous_system
ACH-000610,0,lung
ACH-000733,0,lung
ACH-000440,0,lymphocyte
ACH-001190,0,skin
ACH-000391,0,bone
ACH-000666,1,lung
ACH-000223,0,breast
ACH-000443,0,ovary
ACH-000786,0,lymphocyte
ACH-000136,0,peripheral_nervous_system
ACH-000142,1,urinary_tract
ACH-000689,1,soft_tissue
ACH-000107,0,pancreas
ACH-000518,1,upper_aerodigestive
ACH-000269,1,central_nervous_system
ACH-000264,0,lung
ACH-000835,1,soft_tissue
ACH-000702,0,lymphocyte
ACH-000282,1,lung
ACH-000067,1,central_nervous_system
ACH-000117,0,breast
ACH-000628,0,lung
ACH-000221,0,liver
ACH-000790,0,lung
ACH-000451,0,lung
ACH-000292,0,lung
ACH-000867,0,lung
ACH-000087,1,bone
ACH-000159,1,kidney
ACH-000062,0,lung
ACH-000276,0,breast
ACH-000055,1,central_nervous_system
ACH-000781,0,lung
ACH-000111,0,breast
ACH-000888,1,lung
ACH-000121,0,lung
ACH-000483,0,liver
ACH-000871,1,lung
ACH-000717,0,esophagus
ACH-000565,0,colorectal
ACH-000186,0,lung
ACH-000192,0,uterus
ACH-000895,0,colorectal
ACH-000042,1,pancreas
ACH-000789,0,lung
ACH-000050,1,plasma_cell
ACH-000354,0,pancreas
ACH-000196,0,breast
ACH-000254,0,upper_aerodigestive
ACH-000395,1,lung
ACH-000116,0,ovary
ACH-000157,0,lymphocyte
ACH-000621,0,breast
ACH-000308,0,ovary
ACH-000694,1,esophagus
ACH-000038,1,lymphocyte
ACH-000169,1,soft_tissue
ACH-000743,0,lung
ACH-000427,0,gastric
ACH-000238,1,upper_aerodigestive
ACH-000640,0,skin
ACH-000548,0,upper_aerodigestive
ACH-000161,0,lung
ACH-000860,0,lung
ACH-000560,0,gastric
ACH-000434,0,lung
ACH-000456,1,thyroid
ACH-000341,0,peripheral_nervous_system
ACH-000021,0,lung
ACH-000058,1,thyroid
ACH-000775,1,lung
ACH-000364,0,bone
ACH-000624,0,breast
ACH-000414,0,lung
ACH-000352,0,breast
ACH-000349,1,breast
ACH-000319,1,lung
ACH-000181,0,upper_aerodigestive
ACH-000137,1,central_nervous_system
ACH-000766,0,lung
ACH-000389,1,central_nervous_system
ACH-000920,1,blood
ACH-000351,1,gastric
ACH-000394,0,lung
ACH-000744,0,lung
ACH-000114,0,pancreas
ACH-000795,1,blood
ACH-000103,0,ovary
ACH-000144,0,gastric
ACH-000514,0,lung
ACH-000864,1,uterus
ACH-000305,0,esophagus
ACH-000603,0,lung
ACH-000916,0,lung
ACH-000978,0,uterus
ACH-000561,1,esophagus
ACH-000052,0,bone
